generator_type,n,d,basis_size_m,method,round,num_attempts,success_rate,num_finite,mean_value,std_value,mean_rel_gap_to_sos,std_rel_gap_to_sos,median_wall_time,mean_basis_condition
hard_sos_random_psd_gram,2,2,6,sdsos_plus,0,10,0.6,6,-13141.018439140445,29629.533947612257,13141.071506606904,29629.51205585406,0.06346970901358873,1.0
hard_sos_random_psd_gram,2,2,6,sos,0,10,1.0,10,0.03963528204666529,0.04507201102483326,0.0,0.0,0.017901195504236966,1.0
hard_sos_random_psd_gram,2,2,6,sos_basis_sdsos,0,10,1.0,10,0.0396350894811482,0.04507209083653763,1.9256551708948106e-07,2.3215817287113386e-07,0.06717014900641516,251971.66915684575
hard_sos_random_psd_gram,2,3,10,sdsos_plus,0,10,0.5,5,-133234.22821438016,139852.15501519718,133234.40606568725,139852.14434940816,0.3177019054419361,1.0
hard_sos_random_psd_gram,2,3,10,sos,0,10,1.0,10,0.29793243576063577,0.3693946385932409,0.0,0.0,0.0708085639635101,1.0
hard_sos_random_psd_gram,2,3,10,sos_basis_sdsos,0,10,0.9,9,0.32881226011830533,0.37786407751195444,1.5808237522770187e-07,3.469660469274275e-07,0.3245513790170662,303791.64419563767
hard_sos_random_psd_gram,3,2,10,sdsos_plus,0,10,0.0,0,,,,,0.2030168230412528,1.0
hard_sos_random_psd_gram,3,2,10,sos,0,10,1.0,10,0.190010229993908,0.13486096220122581,0.0,0.0,0.04189149499870837,1.0
hard_sos_random_psd_gram,3,2,10,sos_basis_sdsos,0,10,0.9,9,0.19142386442222745,0.1429630650708982,1.5479609508442516e-07,1.6127497288697338e-07,0.2003561134915799,330959.732050735
hard_sos_random_psd_gram,3,3,20,sdsos_plus,0,10,0.0,0,,,,,0.8092568999272771,1.0
hard_sos_random_psd_gram,3,3,20,sos,0,10,1.0,10,1.0055830138805366,0.8184114945784421,0.0,0.0,0.1702267819782719,1.0
hard_sos_random_psd_gram,3,3,20,sos_basis_sdsos,0,10,0.5,5,1.2987609211162097,1.0604879919085286,2.3832848550085058e-07,1.615744086527358e-07,1.4667317154817283,435131.77979284956
hard_sos_random_psd_gram,4,2,15,sdsos_plus,0,10,0.0,0,,,,,0.44555815996136516,1.0
hard_sos_random_psd_gram,4,2,15,sos,0,10,1.0,10,0.21277123932610004,0.08971363980222023,0.0,0.0,0.09318778751185164,1.0
hard_sos_random_psd_gram,4,2,15,sos_basis_sdsos,0,10,0.6,6,0.19237895844507627,0.10675366858763687,2.1042692486631745e-07,2.888112733420663e-07,0.53023660951294,400614.8947758064
