n,d,degree,seed,basis_size_m,cone,solver,status,value,solve_time,wall_time,error
2,2,4,0,6,dsos,CLARABEL,infeasible,-inf,0.001118665,0.09023847198113799,
2,2,4,0,6,dsos,SCIPY,infeasible,-inf,,0.04924230498727411,
2,2,4,0,6,dsos,SCS,infeasible,-inf,0.000487562,0.04348914208821952,
2,2,4,0,6,sdsos,CLARABEL,optimal,-694.2488907512202,0.001154535,0.06485786405391991,
2,2,4,0,6,sdsos,SCS,optimal_inaccurate,-178.2842610838754,0.22109800899999998,0.31566258310340345,
2,2,4,0,6,sos,CLARABEL,optimal,0.13356823602446713,0.005589486,0.02552241599187255,
2,2,4,0,6,sos,SCS,optimal,0.13356737586261483,0.00387038,0.024890593951568007,
2,2,4,1,6,dsos,CLARABEL,infeasible,-inf,0.00056824,0.07532945403363556,
2,2,4,1,6,dsos,SCIPY,infeasible,-inf,,0.07780038600321859,
2,2,4,1,6,dsos,SCS,infeasible,-inf,0.000363734,0.07267690193839371,
2,2,4,1,6,sdsos,CLARABEL,infeasible,-inf,0.001625374,0.10248170199338347,
2,2,4,1,6,sdsos,SCS,optimal_inaccurate,-56063.71369943464,0.230658444,0.33139396202750504,
2,2,4,1,6,sos,CLARABEL,optimal,0.017193560585397647,0.000738505,0.021169729996472597,
2,2,4,1,6,sos,SCS,optimal,0.017193641871582482,0.008019261,0.027958577033132315,
3,2,4,0,10,dsos,CLARABEL,infeasible,-inf,0.001356669,0.2092964140465483,
3,2,4,0,10,dsos,SCIPY,infeasible,-inf,,0.18534815509337932,
3,2,4,0,10,dsos,SCS,infeasible,-inf,0.000884867,0.2077595789451152,
3,2,4,0,10,sdsos,CLARABEL,infeasible,-inf,0.004523447,0.26495523599442095,
3,2,4,0,10,sdsos,SCS,optimal_inaccurate,-38003.494137782494,0.648564245,0.9348694150103256,
3,2,4,0,10,sos,CLARABEL,optimal,0.0535615856661635,0.002037844,0.04390628088731319,
3,2,4,0,10,sos,SCS,optimal,0.05356114293345714,0.004529458,0.047851976938545704,
3,2,4,1,10,dsos,CLARABEL,infeasible,-inf,0.001386786,0.18774446996394545,
3,2,4,1,10,dsos,SCIPY,infeasible,-inf,,0.20949960907455534,
3,2,4,1,10,dsos,SCS,infeasible,-inf,0.0008898970000000001,0.189934759051539,
3,2,4,1,10,sdsos,CLARABEL,infeasible,-inf,0.004945955,0.2890848380047828,
3,2,4,1,10,sdsos,SCS,optimal_inaccurate,-91236.10273780426,0.641146857,0.9103521920042112,
3,2,4,1,10,sos,CLARABEL,optimal,0.17728612697417714,0.002285292,0.0450189319672063,
3,2,4,1,10,sos,SCS,optimal,0.17730233495129494,0.021210525,0.08889016998000443,
