ensemble,n,d,basis_size_m,cone,solver,num_attempts,success_rate,reliable_success_rate,num_finite,mean_value,std_value,mean_rel_gap_to_sos_best,std_rel_gap_to_sos_best,mean_wall_time,median_wall_time
hard_sos,2,2,6,dsos,CLARABEL,5,0.0,0.0,0,,,,,0.05754556099418551,0.0541900749085471
hard_sos,2,2,6,dsos,SCS,5,0.0,0.0,0,,,,,0.05003817125689238,0.04926613706629723
hard_sos,2,2,6,sdsos,CLARABEL,5,0.6,0.4,3,-1474.854431312048,748.2574443207643,1474.9193558382892,748.2083231775706,0.07333524138666689,0.06990455801133066
hard_sos,2,2,6,sdsos,SCS,5,1.0,0.0,5,-40139.47383168691,62606.887636670224,40139.517247063326,62606.85981709458,0.2329920190386474,0.23605685704387724
hard_sos,2,2,6,sos,CLARABEL,5,1.0,1.0,5,0.04341278702740438,0.05205866601128614,2.5893911286819366e-06,3.8384502015919505e-06,0.016248103836551307,0.014192815055139363
hard_sos,2,2,6,sos,SCS,5,1.0,1.0,5,0.04341518400135901,0.052056663501738654,1.9241717404971937e-07,3.758806570048861e-07,0.02588997296988964,0.01959855097811669
hard_sos,3,2,10,dsos,CLARABEL,5,0.0,0.0,0,,,,,0.14339071561116726,0.14681846904568374
hard_sos,3,2,10,dsos,SCS,5,0.0,0.0,0,,,,,0.14281837979797274,0.1327603420941159
hard_sos,3,2,10,sdsos,CLARABEL,5,0.0,0.0,0,,,,,0.21796253081411124,0.20472909905947745
hard_sos,3,2,10,sdsos,SCS,5,1.0,0.0,5,-60548.67508363179,38690.349600216745,60548.82066850054,38690.39034567071,0.691216201800853,0.6660807479638606
hard_sos,3,2,10,sos,CLARABEL,5,1.0,1.0,5,0.1455793228710179,0.08121431204473448,5.5458818914111415e-06,6.333436573677222e-06,0.03600697023794055,0.034549750038422644
hard_sos,3,2,10,sos,SCS,5,1.0,1.0,5,0.14558478020636806,0.08121776852903814,8.854654127282702e-08,1.9799608545853195e-07,0.048832781589590014,0.0422104150056839
hard_sos,4,2,15,dsos,CLARABEL,5,0.0,0.0,0,,,,,0.3698128568008542,0.3894774339860305
hard_sos,4,2,15,dsos,SCS,5,0.0,0.0,0,,,,,0.34566867076791824,0.3575829049805179
hard_sos,4,2,15,sdsos,CLARABEL,5,0.0,0.0,0,,,,,0.48316358018200845,0.47140708193182945
hard_sos,4,2,15,sdsos,SCS,5,1.0,0.0,5,-129163.55767682726,49752.0928100088,129163.78268402079,49752.157074378905,1.6443886798340828,1.6729111470049247
hard_sos,4,2,15,sos,CLARABEL,5,1.0,1.0,5,0.2250004143936227,0.11956724521081472,6.779162051636506e-06,4.70423918970748e-06,0.07511680698953568,0.07388063601683825
hard_sos,4,2,15,sos,SCS,5,1.0,1.0,5,0.22500719355567433,0.11956554629578754,0.0,0.0,0.1032294660108164,0.10917816997971386
